https://www.acmicpc.net/problem/ + 문제번호 -> URL,,,,,,,
문제번호,문제제목,정답률,분류정보,사용여부,태그1,태그2,태그3
1654,랜선 자르기,18.67%,이분 탐색 단계,,Searching,,
10815,숫자 카드,47.02%,이분 탐색 단계,,Searching,,
1300,K째 수,36.40%,이분 탐색 단계,,Searching,,
2957,이진 탐색 트리,22.98%,이진 트리 단계,,자료구조,,
5639,이진 검색 트리,43.20%,이진 트리 단계,,자료구조,,
3038,완전 이진 트리,59.60%,이진 트리 단계,,자료구조,,
2098,외판원 순회,26.05%,동적 계획법 2 단계,,동적프로그래밍,dfs/bfs,
2618,경찰차,29.19%,동적 계획법 2 단계,,동적프로그래밍,dfs/bfs,
1315,RPG,19.08%,동적 계획법 2 단계,,동적프로그래밍,,
11062,카드 게임,43.69%,동적 계획법 2 단계,,동적프로그래밍,,
1562,계단 수,45.27%,동적 계획법 2 단계,,동적프로그래밍,,
2342,Dance Dance Revolution,32.86%,동적 계획법 2 단계,,동적프로그래밍,,
2449,전구,40.56%,동적 계획법 2 단계,,동적프로그래밍,,
10272,현상금 사냥꾼 김정은,43.68%,동적 계획법 2 단계,,동적프로그래밍,,
1958,LCS 3,48.91%,동적 계획법 2 단계,,동적프로그래밍,,
4243,보안 업체,30.29%,동적 계획법 2 단계,,동적프로그래밍,,
1344,축구,56.39%,동적 계획법 3 (확률) 단계,,동적프로그래밍,,
13250,주사위 게임,70.61%,동적 계획법 3 (확률) 단계,,동적프로그래밍,,
2066,카드놀이,43.83%,동적 계획법 3 (확률) 단계,,동적프로그래밍,,
3946,랜덤 걷기,46.15%,동적 계획법 3 (확률) 단계,,동적프로그래밍,,
1413,박스 안의 열쇠,37.63%,동적 계획법 3 (확률) 단계,,동적프로그래밍,,
1931,회의실배정,29.46%,그리디 알고리즘 풀어보기 단계,,greedy,,
11047,동전 0,58.53%,그리디 알고리즘 풀어보기 단계,,greedy,,
11399,ATM,70.68%,그리디 알고리즘 풀어보기 단계,,greedy,,
2217,로프,47.54%,그리디 알고리즘 풀어보기 단계,,greedy,,
4307,개미,48.10%,그리디 알고리즘 풀어보기 단계,,greedy,,
9663,N-Queen,57.24%,백트래킹 단계,,backtracking,,
2580,스도쿠,32.52%,백트래킹 단계,,backtracking,,
2661,좋은수열,56.28%,백트래킹 단계,,backtracking,,
10986,나머지 합,32.43%,"구간 합, Segment Tree (RMQ, Segement Tree) 단계",,알고리즘 기타,,
10713,기차 여행,39.44%,"구간 합, Segment Tree (RMQ, Segement Tree) 단계",,알고리즘 기타,,
2042,구간 합 구하기,29.19%,"구간 합, Segment Tree (RMQ, Segement Tree) 단계",,알고리즘 기타,,
11659,구간 합 구하기 4,53.25%,"구간 합, Segment Tree (RMQ, Segement Tree) 단계",,알고리즘 기타,,
